name,energy,moisuture,protein,lipid,carbohydrate,ash,sodium,potassium,calcium,magnesium,phosphorus,iron,zinc,copper,manganese,retinol,carotene,inRetinolAmount,vitaminD,vitaminE,vitaminK,vitaminB1,vitaminB2,niacin,vitaminB6,vitaminB12,folicAcid,pantothenicAcid,vitaminC,saturatedFattyAcid,monounsaturatedFattyAcid,polyunsaturatedFattyAcid,cholesterol,waterSolubleFiberContaining,waterUnsolubleFiberContaining,totalFiberContaining,solt
薄力粉,3.68,0.14,0.08,0.017,0.759,0.004,0.02,1.2,0.23,0.12,0.7,0.006,0.003,0.0009,0.005,0,0,0,0,0.003,0,0.0013,0.0004,0.007,0.0003,0,0.09,0.0053,0,0.0039,0.0015,0.0086,0,0.012,0.013,0.025,0
小麦粉,3.68,0.14,0.08,0.017,0.759,0.004,0.02,1.2,0.23,0.12,0.7,0.006,0.003,0.0009,0.005,0,0,0,0,0.003,0,0.0013,0.0004,0.007,0.0003,0,0.09,0.0053,0,0.0039,0.0015,0.0086,0,0.012,0.013,0.025,0
こむぎこ,3.68,0.14,0.08,0.017,0.759,0.004,0.02,1.2,0.23,0.12,0.7,0.006,0.003,0.0009,0.005,0,0,0,0,0.003,0,0.0013,0.0004,0.007,0.0003,0,0.09,0.0053,0,0.0039,0.0015,0.0086,0,0.012,0.013,0.025,0
中力粉,3.68,0.14,0.09,0.018,0.748,0.004,0.02,1,0.2,0.18,0.74,0.006,0.005,0.0011,0.005,0,0,0,0,0.003,0,0.0012,0.0004,0.007,0.0005,0,0.08,0.0047,0,0.0041,0.0016,0.0091,0,0.012,0.016,0.028,0
強力粉,3.66,0.145,0.117,0.018,0.716,0.004,0.02,0.8,0.2,0.23,0.75,0.01,0.008,0.0015,0.0038,0,0,0,0,0.003,0,0.001,0.0005,0.009,0.0007,0,0.15,0.0077,0,0.0041,0.0016,0.0091,0,0.012,0.015,0.027,0
ホットケーキミックス粉,3.66,0.111,0.076,0.042,0.744,0.021,3.9,2.4,1,0.12,1.8,0.005,0.003,0.0007,0.0036,0.08,0.03,0.09,0,0.004,0.01,0.0011,0.0009,0.006,0.0004,0.001,0.1,0.0048,0,0.012,0.014,0.0089,0.31,0.009,0.01,0.019,0.01
てんぷら粉,3.49,0.138,0.075,0.016,0.761,0.008,0.77,1.5,0.45,0.11,1,0.006,0.003,0.0008,0.0044,0,0,0,0,0.003,0,0.0012,0.0005,0.006,0.0003,0,0.08,0.0047,0,0.0035,0.0013,0.0076,0,0.011,0.012,0.023,0.002
食パン,2.64,0.38,0.093,0.044,0.467,0.016,5,0.97,0.29,0.2,0.83,0.006,0.008,0.0011,0.0024,0,0,0,0,0.006,0,0.0007,0.0004,0.012,0.0003,0,0.32,0.0047,0,0.0095,0.0145,0.0159,0,0.004,0.019,0.023,0.013
パン,2.64,0.38,0.093,0.044,0.467,0.016,5,0.97,0.29,0.2,0.83,0.006,0.008,0.0011,0.0024,0,0,0,0,0.006,0,0.0007,0.0004,0.012,0.0003,0,0.32,0.0047,0,0.0095,0.0145,0.0159,0,0.004,0.019,0.023,0.013
コッペパン,2.65,0.37,0.085,0.038,0.491,0.016,5.2,0.95,0.37,0.24,0.75,0.01,0.007,0.0012,0.0039,0,0,0,0,0.005,0,0.0008,0.0008,0.007,0.0004,0,0.45,0.0063,0,0.0082,0.0125,0.0138,0,0.01,0.01,0.02,0.013
乾パン,3.93,0.055,0.095,0.044,0.788,0.018,4.9,1.6,0.3,0.27,0.95,0.012,0.006,0.0018,0.0082,0,0,0,0,0.013,0,0.0014,0.0006,0.009,0.0006,0,0.2,0.0041,0,0,0,0,0,0.018,0.013,0.031,0.012
フランスパン,2.79,0.3,0.094,0.013,0.575,0.018,6.2,1.1,0.16,0.22,0.72,0.009,0.008,0.0014,0.0039,0,0,0,0,0.001,0,0.0008,0.0005,0.011,0.0004,0,0.33,0.0045,0,0.003,0.0012,0.0066,0,0.012,0.015,0.027,0.016
ライ麦パン,2.64,0.35,0.084,0.022,0.527,0.017,4.7,1.9,0.16,0.4,1.3,0.014,0.013,0.0018,0.0087,0,0,0,0,0.003,0,0.0016,0.0006,0.013,0.0009,0,0.34,0.0046,0,0.0041,0.0023,0.0105,0,0.02,0.036,0.056,0.012
ぶどうパン,2.69,0.357,0.082,0.035,0.511,0.015,4,2.1,0.32,0.23,0.86,0.009,0.006,0.0015,0.0032,0,0,0,0,0.004,0,0.0011,0.0005,0.012,0.0007,0,0.33,0.0042,0,0,0,0,0,0.009,0.013,0.022,0.01
レーズンパン,2.69,0.357,0.082,0.035,0.511,0.015,4,2.1,0.32,0.23,0.86,0.009,0.006,0.0015,0.0032,0,0,0,0,0.004,0,0.0011,0.0005,0.012,0.0007,0,0.33,0.0042,0,0,0,0,0,0.009,0.013,0.022,0.01
ロールパン,3.16,0.307,0.101,0.09,0.486,0.016,4.9,1.1,0.44,0.22,0.97,0.007,0.008,0.0012,0.0029,0,0.15,0.03,0,0.006,0,0.001,0.0006,0.013,0.0003,0,0.38,0.0061,0,0,0,0,0,0.01,0.01,0.02,0.012
バターロール,3.16,0.307,0.101,0.09,0.486,0.016,4.9,1.1,0.44,0.22,0.97,0.007,0.008,0.0012,0.0029,0,0.15,0.03,0,0.006,0,0.001,0.0006,0.013,0.0003,0,0.38,0.0061,0,0,0,0,0,0.01,0.01,0.02,0.012
クロワッサン,4.48,0.2,0.079,0.268,0.439,0.014,4.7,0.9,0.21,0.17,0.67,0.006,0.006,0.001,0.0029,0,0.69,0.11,0,0.026,0,0.0008,0.0003,0.01,0.0003,0,0.33,0.0044,0,0,0,0,0,0.009,0.009,0.018,0.012
イングリッシュマフィン,2.28,0.46,0.081,0.036,0.408,0.015,4.8,0.84,0.53,0.19,0.96,0.009,0.008,0.0012,0.0028,0,0,0,0,0.003,0,0.0015,0.0008,0.012,0.0005,0,0.23,0.0032,0,0,0,0,0,0.002,0.01,0.012,0.012
ナン,2.62,0.372,0.103,0.034,0.476,0.015,5.3,0.97,0.11,0.22,0.77,0.008,0.007,0.0011,0.003,0,0,0,0,0.007,0,0.0013,0.0006,0.013,0.0005,0,0.36,0.0055,0,0.0053,0.0146,0.01,0,0.008,0.012,0.02,0.013
生うどん,2.7,0.335,0.061,0.006,0.568,0.03,10,0.9,0.18,0.13,0.49,0.003,0.003,0.0008,0.0039,0,0,0,0,0.003,0,0.0009,0.0003,0.006,0.0003,0,0.05,0.0036,0,0.0014,0.0005,0.003,0,0.005,0.007,0.012,0.025
うどん,1.05,0.75,0.026,0.004,0.216,0.004,1.2,0.09,0.06,0.06,0.18,0.002,0.001,0.0004,0.0012,0,0,0,0,0.001,0,0.0002,0.0001,0.002,0.0001,0,0.02,0.0013,0,0.0009,0.0004,0.002,0,0.002,0.006,0.008,0.003
うどん乾,3.48,0.135,0.085,0.011,0.719,0.05,17,1.3,0.17,0.19,0.7,0.006,0.004,0.0011,0.005,0,0,0,0,0.004,0,0.0008,0.0002,0.009,0.0004,0,0.09,0.0045,0,0.0025,0.001,0.0056,0,0.006,0.018,0.024,0.043
そうめん乾,3.56,0.125,0.095,0.011,0.727,0.042,15,1.2,0.17,0.22,0.7,0.006,0.004,0.0012,0.0044,0,0,0,0,0.004,0,0.0008,0.0002,0.009,0.0003,0,0.08,0.007,0,0.0025,0.001,0.0056,0,0.007,0.018,0.025,0.038
ひやむぎ乾,3.56,0.125,0.095,0.011,0.727,0.042,15,1.2,0.17,0.22,0.7,0.006,0.004,0.0012,0.0044,0,0,0,0,0.004,0,0.0008,0.0002,0.009,0.0003,0,0.08,0.007,0,0.0025,0.001,0.0056,0,0.007,0.018,0.025,0.038
そうめん,1.05,0.75,0.026,0.004,0.216,0.004,1.2,0.09,0.06,0.06,0.18,0.002,0.001,0.0004,0.0012,0,0,0,0,0.001,0,0.0002,0.0001,0.002,0.0001,0,0.02,0.0013,0,0.0009,0.0004,0.002,0,0.002,0.006,0.008,0.003
ひやむぎ,1.05,0.75,0.026,0.004,0.216,0.004,1.2,0.09,0.06,0.06,0.18,0.002,0.001,0.0004,0.0012,0,0,0,0,0.001,0,0.0002,0.0001,0.002,0.0001,0,0.02,0.0013,0,0.0009,0.0004,0.002,0,0.002,0.006,0.008,0.003
生中華めん,2.81,0.33,0.086,0.012,0.557,0.015,4.1,3.5,0.21,0.13,0.6,0.005,0.004,0.0009,0.0035,0,0,0,0,0.002,0,0.0002,0.0002,0.006,0.0002,0,0.08,0.0055,0,0.0028,0.0011,0.0061,0,0.007,0.014,0.021,0.01
中華めん,1.49,0.65,0.049,0.006,0.292,0.003,0.7,0.6,0.2,0.07,0.31,0.003,0.002,0.0005,0.0018,0,0,0,0,0.001,0,0.0001,0.0001,0.002,0,0,0.03,0.0025,0,0.0014,0.0005,0.003,0,0.005,0.008,0.013,0.002
蒸し中華めん,1.98,0.54,0.053,0.017,0.384,0.006,1.7,0.86,0.09,0.1,1,0.003,0.002,0.0007,0.0029,0,0,0,0,0.001,0,0.0001,0.0001,0.004,0.0002,0,0.04,0.0027,0,0.0039,0.0015,0.0086,0,0.007,0.012,0.019,0.004
中華めん乾,3.65,0.13,0.105,0.016,0.73,0.019,5,3.1,0.18,0.24,1.2,0.007,0.006,0.0016,0.0045,0,0,0,0,0.002,0,0.0003,0.0003,0.01,0.0005,0,0.11,0.0078,0,0.0037,0.0014,0.0081,0,0.016,0.013,0.029,0.013
沖縄そば,1.47,0.655,0.052,0.008,0.28,0.005,1.7,0.8,0.09,0.28,0.28,0.004,0.006,0.001,0.0037,0,0,0,0,0.002,0,0.0001,0.0002,0.002,0.0003,0,0.06,0.0023,0,0.0018,0.0007,0.0041,0,0.008,0.007,0.015,0.004
沖縄そば乾,3.51,0.137,0.12,0.017,0.678,0.048,17,1.3,0.23,0.22,1,0.015,0.004,0.0011,0.0038,0,0,0,0,0.001,0,0.0012,0.0005,0.011,0.0005,0,0.08,0.0049,0,0.0039,0.0015,0.0086,0,0.013,0.008,0.021,0.043
即席中華めん 油揚げ味付け,4.45,0.02,0.101,0.167,0.635,0.077,25,2.6,4.3,0.29,1.1,0.01,0.005,0.0013,0.0082,0,0,0,0,0.036,0.01,0.0146,0.0167,0.01,0.0006,0,0.12,0.0041,0,0.0731,0.0602,0.0225,0.07,0.016,0.009,0.025,0.064
即席中華めん 油揚げ,4.58,0.03,0.101,0.191,0.614,0.064,22,1.5,2.3,0.25,1.1,0.009,0.005,0.0016,0.0053,0,0.14,0.02,0,0.026,0.03,0.0055,0.0083,0.009,0.0005,0,0.1,0.0044,0,0.0846,0.0715,0.022,0.03,0.014,0.01,0.024,0.056
即席中華めん 非油揚げ,3.56,0.1,0.103,0.052,0.671,0.074,27,2.6,1.1,0.25,1.1,0.008,0.004,0.0011,0.0066,0,0.05,0.01,0,0.018,0.03,0.0021,0.0004,0.01,0.0005,0,0.14,0.0037,0,0.0126,0.0186,0.0155,0.02,0.014,0.009,0.023,0.069
スナックめん,4.48,0.05,0.107,0.197,0.569,0.077,27,2.1,1.9,0.27,1.2,0.013,0.006,0.0015,0.0057,0.03,3,0.53,0,0.03,0.07,0.0068,0.0053,0.01,0.0007,0.002,0.21,0.0052,0.01,0.0872,0.0742,0.0228,0.34,0.013,0.01,0.023,0.069
マカロニ,3.78,0.12,0.13,0.022,0.722,0.006,0.02,2,0.18,0.55,1.3,0.014,0.015,0.0028,0,0,0.09,0.02,0,0.004,0,0.0019,0.0006,0.023,0.0011,0,0.13,0.0065,0,0.0051,0.002,0.0112,0,0.007,0.02,0.027,0
スパゲッティ,3.78,0.12,0.13,0.022,0.722,0.006,0.02,2,0.18,0.55,1.3,0.014,0.015,0.0028,0,0,0.09,0.02,0,0.004,0,0.0019,0.0006,0.023,0.0011,0,0.13,0.0065,0,0.0051,0.002,0.0112,0,0.007,0.02,0.027,0
マカロニゆで,1.49,0.65,0.052,0.009,0.284,0.005,1.7,0.12,0.07,0.18,0.46,0.006,0.006,0.0012,0,0,0,0,0,0.001,0,0.0005,0.0003,0.005,0.0002,0,0.04,0.0025,0,0.0021,0.0008,0.0046,0,0.004,0.011,0.015,0.004
スパゲッティゆで,1.49,0.65,0.052,0.009,0.284,0.005,1.7,0.12,0.07,0.18,0.46,0.006,0.006,0.0012,0,0,0,0,0,0.001,0,0.0005,0.0003,0.005,0.0002,0,0.04,0.0025,0,0.0021,0.0008,0.0046,0,0.004,0.011,0.015,0.004
生ふ,1.63,0.6,0.127,0.008,0.262,0.003,0.07,0.3,0.13,0.18,0.6,0.013,0.018,0.0025,0.0104,0,0,0,0,0,0,0.0008,0.0003,0.005,0.0002,0,0.07,0.0012,0,0.0018,0.0007,0.0041,0,0.002,0.003,0.005,0
ふ,3.85,0.113,0.285,0.027,0.569,0.006,0.06,1.2,0.33,0.43,1.3,0.033,0.022,0.0032,0,0,0,0,0,0.009,0,0.0016,0.0007,0.035,0.0008,0,0.16,0.0058,0,0.0062,0.0024,0.0137,0,0.011,0.026,0.037,0
竹輪ふ,1.71,0.604,0.071,0.012,0.311,0.002,0.01,0.03,0.08,0.06,0.31,0.005,0.002,0.0007,0.0008,0,0,0,0,0,0,0.0001,0.0002,0.003,0.0001,0,0.04,0.0025,0,0.0028,0.0011,0.0061,0,0.006,0.009,0.015,0
ぎょうざの皮,2.91,0.32,0.093,0.014,0.57,0.003,0.02,0.64,0.16,0.18,0.6,0.008,0.006,0.0012,0.0028,0,0,0,0,0.003,0,0.0008,0.0004,0.007,0.0006,0,0.12,0.0061,0,0.0032,0.0012,0.0071,0,0.01,0.012,0.022,0
しゅうまいの皮,2.95,0.311,0.083,0.014,0.589,0.003,0.02,0.72,0.16,0.17,0.6,0.006,0.005,0.001,0.0028,0,0,0,0,0.003,0,0.0009,0.0004,0.006,0.0005,0,0.09,0.005,0,0.0032,0.0012,0.0071,0,0.01,0.012,0.022,0
ピザクラス,2.68,0.353,0.091,0.03,0.511,0.015,5.1,0.91,0.13,0.22,0.77,0.008,0.006,0.0009,0.005,0,0,0,0,0.004,0,0.0015,0.0011,0.01,0.0005,0,0.2,0.0054,0,0.0049,0.007,0.0137,0,0.008,0.015,0.023,0.013
生パン粉,2.8,0.35,0.11,0.051,0.476,0.013,3.5,1.1,0.25,0.29,0.97,0.011,0.007,0.0015,0.0047,0,0.03,0.01,0,0.004,0,0.0011,0.0002,0.012,0.0005,0,0.4,0.0041,0,0.0111,0.0168,0.0185,0,0.012,0.018,0.03,0.009
パン粉,3.73,0.135,0.146,0.068,0.634,0.017,4.6,1.5,0.33,0.39,1.3,0.014,0.009,0.002,0.0062,0,0.04,0.01,0,0.006,0,0.0015,0.0003,0.016,0.0007,0,0.54,0.0054,0,0.0148,0.0224,0.0246,0,0.016,0.024,0.04,0.012
米,3.56,0.155,0.061,0.009,0.771,0.004,0.01,0.88,0.05,0.23,0.94,0.008,0.014,0.0022,0.008,0,0,0,0,0.002,0,0.0008,0.0002,0.012,0.0012,0,0.12,0.0066,0,0.0029,0.0021,0.0031,0,0,0.005,0.005,0
こめ,3.56,0.155,0.061,0.009,0.771,0.004,0.01,0.88,0.05,0.23,0.94,0.008,0.014,0.0022,0.008,0,0,0,0,0.002,0,0.0008,0.0002,0.012,0.0012,0,0.12,0.0066,0,0.0029,0.0021,0.0031,0,0,0.005,0.005,0
ごはん,1.68,0.6,0.025,0.003,0.371,0.001,0.01,0.29,0.03,0.07,0.34,0.001,0.006,0.001,0.0035,0,0,0,0,0,0,0.0002,0.0001,0.002,0.0002,0,0.03,0.0025,0,0.001,0.0007,0.001,0,0,0.003,0.003,0
御飯,1.68,0.6,0.025,0.003,0.371,0.001,0.01,0.29,0.03,0.07,0.34,0.001,0.006,0.001,0.0035,0,0,0,0,0,0,0.0002,0.0001,0.002,0.0002,0,0.03,0.0025,0,0.001,0.0007,0.001,0,0,0.003,0.003,0
全粥,0.71,0.83,0.011,0.001,0.157,0.001,0,0.12,0.01,0.03,0.14,0,0.003,0.0004,0.0015,0,0,0,0,0,0,0.0001,0,0.001,0.0001,0,0.01,0.0011,0,0.0003,0.0002,0.0003,0,0,0.001,0.001,0
五分粥,0.36,0.915,0.005,0.001,0.079,0,0,0.06,0.01,0.01,0.07,0,0.001,0.0002,0.0008,0,0,0,0,0,0,0,0,0,0,0,0.01,0.0005,0,0.0003,0.0002,0.0003,0,0,0.001,0.001,0
おもゆ,0.21,0.95,0.003,0,0.047,0,0,0.04,0,0.01,0.04,0,0.001,0.0001,0.0004,0,0,0,0,0,0,0,0,0,0,0,0,0.0003,0,0,0,0,0,0,0,0,0
重湯,0.21,0.95,0.003,0,0.047,0,0,0.04,0,0.01,0.04,0,0.001,0.0001,0.0004,0,0,0,0,0,0,0,0,0,0,0,0,0.0003,0,0,0,0,0,0,0,0,0
アルファ化米,3.87,0.08,0.058,0.007,0.852,0.003,0.02,0.66,0.07,0.16,0.78,0.002,0.014,0.0022,0.0081,0,0,0,0,0.001,0,0.0005,0.0002,0.005,0.0004,0,0.07,0.0057,0,0.0022,0.0016,0.0024,0,0,0.008,0.008,0
おにぎり,1.79,0.57,0.027,0.003,0.394,0.006,2,0.31,0.03,0.07,0.37,0.001,0.006,0.001,0.0038,0,0,0,0,0,0,0.0002,0.0001,0.002,0.0002,0,0.03,0.0027,0,0.001,0.0007,0.001,0,0,0.004,0.004,0.005
焼きおにぎり,1.81,0.56,0.031,0.003,0.395,0.011,3.8,0.56,0.05,0.11,0.46,0.002,0.007,0.001,0.0037,0,0,0,0,0,0,0.0003,0.0002,0.003,0.0003,0,0.05,0.0029,0,0.001,0.0007,0.001,0,0,0.004,0.004,0.01
きりたんぽ,2.11,0.5,0.035,0.012,0.446,0.007,0.02,1.2,0.08,0.61,1.6,0.007,0.01,0.0015,0.013,0,0,0,0,0.006,0,0.002,0.0003,0.036,0.0027,0,0.13,0.0082,0,0.0014,0.0018,0.002,0,0.003,0.015,0.018,0
上新粉,3.62,0.14,0.062,0.009,0.785,0.004,0.02,0.89,0.05,0.23,0.96,0.008,0.01,0.0019,0.0075,0,0,0,0,0.002,0,0.0009,0.0002,0.013,0.0012,0,0.12,0.0067,0,0.0029,0.0021,0.0031,0,0,0.006,0.006,0
ビーフン,3.77,0.111,0.07,0.016,0.799,0.004,0.02,0.33,0.14,0.13,0.59,0.007,0.006,0.0006,0.0033,0,0,0,0,0,0,0.0006,0.0002,0.006,0,0,0.04,0.0009,0,0.0051,0.0037,0.0055,0,0,0.009,0.009,0
もち,2.35,0.445,0.042,0.008,0.503,0.002,0.02,0.66,0.07,0.16,0.78,0.002,0.014,0.0022,0.0081,0,0,0,0,0.001,0,0.0005,0.0002,0.005,0.0004,0,0.07,0.0057,0,0.0025,0.0018,0.0028,0,0,0.008,0.008,0
赤飯,1.89,0.53,0.039,0.004,0.424,0.003,0.01,0.79,0.07,0.14,0.54,0.004,0.008,0.0013,0.0038,0,0,0,0,0.001,0.01,0.0005,0.0002,0.002,0.0002,0,0.09,0.003,0,0.0012,0.0008,0.0013,0,0.001,0.016,0.017,0
あくまき,1.32,0.695,0.023,0.018,0.257,0.007,0.16,3,0.06,0.06,0.1,0.001,0.007,0.0005,0.0039,0,0,0,0,0,0,0,0,0,0.0001,0,0.01,0,0,0.0057,0.0042,0.0062,0,0,0.002,0.002,0
白玉粉,3.69,0.125,0.063,0.01,0.8,0.002,0.02,0.03,0.05,0.06,0.45,0.011,0.012,0.0017,0.0055,0,0,0,0,0,0,0.0003,0.0001,0.004,0.0001,0,0.14,0,0,0.0032,0.0023,0.0034,0,0,0.005,0.005,0
道明寺粉,3.72,0.116,0.071,0.007,0.804,0.002,0.04,0.45,0.06,0.09,0.41,0.004,0.015,0.0022,0.009,0,0,0,0,0,0,0.0004,0.0001,0.004,0.0004,0,0.06,0.0022,0,0.0022,0.0012,0.0015,0,0,0.007,0.007,0
そば粉,3.61,0.135,0.12,0.031,0.696,0.018,0.02,4.1,0.17,1.9,4,0.028,0.024,0.0054,0.0109,0,0,0,0,0.009,0,0.0046,0.0011,0.045,0.003,0,0.51,0.0156,0,0.006,0.0111,0.0102,0,0.008,0.035,0.043,0
生そば,2.74,0.33,0.098,0.019,0.545,0.008,0.01,1.6,0.18,0.65,1.7,0.014,0.01,0.0021,0.0086,0,0,0,0,0.004,0,0.0019,0.0009,0.034,0.0015,0,0.19,0.0109,0,0.0041,0.004,0.0081,0,0.01,0.017,0.027,0
そば,1.32,0.68,0.048,0.01,0.26,0.002,0.02,0.34,0.09,0.27,0.8,0.008,0.004,0.001,0.0038,0,0,0,0,0.002,0,0.0005,0.0002,0.005,0.0004,0,0.08,0.0033,0,0.0021,0.0021,0.0042,0,0.005,0.015,0.02,0
そば乾,3.44,0.14,0.14,0.023,0.667,0.03,8.5,2.6,0.24,1,2.3,0.026,0.015,0.0034,0.0111,0,0,0,0,0.005,0,0.0037,0.0008,0.032,0.0024,0,0.25,0.0115,0,0.005,0.0042,0.0102,0,0.016,0.021,0.037,0.022
コーンミール,3.63,0.14,0.083,0.04,0.724,0.013,0.02,2.2,0.05,0.99,1.3,0.015,0.014,0.0016,0.0038,0,1.6,0.26,0,0.015,0,0.0015,0.0008,0.009,0.0043,0,0.28,0.0057,0,0.0081,0.0086,0.0179,0,0.006,0.074,0.08,0
コーングリッツ,3.55,0.14,0.082,0.01,0.764,0.004,0.01,1.6,0.02,0.21,0.5,0.003,0.004,0.0007,0,0,1.8,0.31,0,0.002,0,0.0006,0.0005,0.007,0.0011,0,0.08,0.0032,0,0.002,0.0021,0.0045,0,0.001,0.023,0.024,0
コーンフラワー,3.63,0.14,0.066,0.028,0.761,0.005,0.01,2,0.03,0.31,0.9,0.006,0.006,0.0008,0.0013,0,1.3,0.21,0,0.003,0,0.0014,0.0006,0.013,0.002,0,0.09,0.0037,0,0.0057,0.006,0.0125,0,0.002,0.015,0.017,0
ジャイアントコーン,4.35,0.043,0.057,0.118,0.766,0.016,4.3,1.1,0.08,0.88,1.8,0.013,0.016,0.0007,0.003,0,0,0,0,0.017,0.01,0.0008,0.0002,0.019,0.0011,0,0.12,0.0012,0,0.0337,0.0374,0.0305,0,0.006,0.099,0.105,0.011
ポップコーン,4.84,0.04,0.102,0.228,0.596,0.034,5.7,3,0.07,0.95,2.9,0.043,0.024,0.002,0,0,1.8,0.3,0,0.039,0,0.0013,0.0008,0.02,0.0027,0,0.22,0.0046,0,0.0663,0.0777,0.0698,0,0.002,0.091,0.093,0.014
コーンフレーク,3.81,0.045,0.078,0.017,0.836,0.024,8.3,0.95,0.01,0.14,0.45,0.009,0.002,0.0007,0,0,1.2,0.2,0,0.006,0,0.0003,0.0002,0.003,0.0004,0,0.06,0.0022,0,0,0,0,0,0.003,0.021,0.024,0.021
はとむぎ,3.6,0.13,0.133,0.013,0.722,0.002,0.01,0.85,0.06,0.12,0.2,0.004,0.004,0.0011,0.0081,0,0,0,0,0,0,0.0002,0.0005,0.005,0.0007,0,0.16,0.0016,0,0,0,0,0,0,0.006,0.006,0
こんにゃく,0.05,0.973,0.001,0,0.023,0.003,0.1,0.33,0.43,0.02,0.05,0.004,0.001,0.0002,0.0002,0,0,0,0,0,0,0,0,0,0.0002,0,0.01,0,0,0,0,0,0,0.001,0.021,0.022,0
しらたき,0.06,0.965,0.002,0,0.03,0.003,0.1,0.12,0.75,0.04,0.1,0.005,0.001,0.0002,0.0003,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0.029,0.029,0
