name,energy,protein,lipid,carbohydrate,calcium,iron,vitaminE,vitaminB1,vitaminB2,vitaminC,cholesterol,solt
薄力粉,3.68,0.08,0.017,0.759,0.23,0.006,0.003,0.0013,0.0004,0,0,0
小麦粉,3.68,0.08,0.017,0.759,0.23,0.006,0.003,0.0013,0.0004,0,0,0
こむぎこ,3.68,0.08,0.017,0.759,0.23,0.006,0.003,0.0013,0.0004,0,0,0
中力粉,3.68,0.09,0.018,0.748,0.2,0.006,0.003,0.0012,0.0004,0,0,0
強力粉,3.66,0.117,0.018,0.716,0.2,0.01,0.003,0.001,0.0005,0,0,0
ホットケーキミックス粉,3.66,0.076,0.042,0.744,1,0.005,0.004,0.0011,0.0009,0,0.31,0.01
てんぷら粉,3.49,0.075,0.016,0.761,0.45,0.006,0.003,0.0012,0.0005,0,0,0.002
食パン,2.64,0.093,0.044,0.467,0.29,0.006,0.006,0.0007,0.0004,0,0,0.013
パン,2.64,0.093,0.044,0.467,0.29,0.006,0.006,0.0007,0.0004,0,0,0.013
コッペパン,2.65,0.085,0.038,0.491,0.37,0.01,0.005,0.0008,0.0008,0,0,0.013
乾パン,3.93,0.095,0.044,0.788,0.3,0.012,0.013,0.0014,0.0006,0,0,0.012
フランスパン,2.79,0.094,0.013,0.575,0.16,0.009,0.001,0.0008,0.0005,0,0,0.016
ライ麦パン,2.64,0.084,0.022,0.527,0.16,0.014,0.003,0.0016,0.0006,0,0,0.012
ぶどうパン,2.69,0.082,0.035,0.511,0.32,0.009,0.004,0.0011,0.0005,0,0,0.01
レーズンパン,2.69,0.082,0.035,0.511,0.32,0.009,0.004,0.0011,0.0005,0,0,0.01
ロールパン,3.16,0.101,0.09,0.486,0.44,0.007,0.006,0.001,0.0006,0,0,0.012
バターロール,3.16,0.101,0.09,0.486,0.44,0.007,0.006,0.001,0.0006,0,0,0.012
クロワッサン,4.48,0.079,0.268,0.439,0.21,0.006,0.026,0.0008,0.0003,0,0,0.012
イングリッシュマフィン,2.28,0.081,0.036,0.408,0.53,0.009,0.003,0.0015,0.0008,0,0,0.012
